teacher,student,method,TaskA_retention_%,TaskA_acc,TaskB_acc
resnet50,mobilenetv3,naive,89.59,0.8714,0.9269
resnet50,mobilenetv3,ewc,93.92,0.9135,0.9398
resnet50,mobilenetv3,lwf,74.97,0.7292,0.9509
resnet50,mobilenetv3,bn_freeze,100.0,0.9727,0.9
resnet50,efficientnet_b0,naive,41.86,0.4039,0.9731
resnet50,efficientnet_b0,ewc,95.52,0.9215,0.9667
resnet50,efficientnet_b0,lwf,76.89,0.7418,0.9704
resnet50,efficientnet_b0,bn_freeze,100.0,0.9647,0.9046
vit_b_16,mobilenetv3,naive,67.88,0.6587,0.9583
vit_b_16,mobilenetv3,ewc,81.83,0.7941,0.9259
vit_b_16,mobilenetv3,lwf,75.15,0.7292,0.9787
vit_b_16,mobilenetv3,bn_freeze,100.0,0.9704,0.8685
vit_b_16,efficientnet_b0,naive,27.84,0.2708,0.9657
vit_b_16,efficientnet_b0,ewc,59.65,0.5802,0.9565
vit_b_16,efficientnet_b0,lwf,92.05,0.8953,0.9657
vit_b_16,efficientnet_b0,bn_freeze,100.0,0.9727,0.9102
